Wiederaufnahme der Sitzungsperiode	Resumption of the session
Vergegenwärtigen wir uns doch bloß einmal - und dabei beziehe ich mich auf mein Land -, wie in der Milchwirtschaft nun wirklich alles, vom Grashalm bis zur Milchablieferung im Supermarkt, kontrolliert wird, wie ferner Landwirte und Gärtner schon seit langem eine lückenlose Umwelt- und Kundenbuchhaltung führen müssen - was sie ja auch überaus engagiert tun -, und wie gleichzeitig die Tierschutzbestimmungen in den Ländern der Europäischen Union zu den weltweit strengsten gehören.	I cannot help drawing a comparison with arable farmers and horticulturalists who have been required to keep tabs on the implications of their actions on the environment and consumer front for a long time, and do so with great enthusiasm. At the same time, we have to say that in many European countries the requirements for animal welfare are among the world' s most stringent.
Wer in der Europäischen Union Landwirt werden möchte, muss also mehr leisten als Junglandwirte in anderen Ländern der Welt.	So whoever wants to become a farmer in Europe must outstrip their counterparts elsewhere in the world.
Er muss den Rahmenbedingungen in Bezug auf Landschaft und Kultur Rechnung tragen.	They need to give the landscape and cultural conditions due consideration.
Er muss strengste Verbraucherschutzvorschriften einhalten, ein sowohl in regionaler wie in qualitativer Hinsicht breitgefächertes Sortiment an Produkten liefern, Tierschutz als oberstes Gebot praktizieren und die Haftung für seine Produkte übernehmen, auch wenn sie den Hof bereits verlassen haben.	They must apply the strictest consumer conditions, supply a wide range of products, both regionally and in terms of quality, make animal welfare a top priority and be responsible for the product, even once it has left the farm.
Das nennen wir wie Leistungssport betriebene unternehmerische Tätigkeit.	This is what we call social enterprising as a top-level sport.
Gefordert sind Unternehmergeist, Liebe zur Umwelt und zur Natur, soziale Ausrichtung sowie Durchsetzungsvermögen.	It requires entrepreneurship, a love of nature and the environment, social orientation and perseverance.
Allein schon aus diesem Grund wäre eine gezielte, zukunftsorientierte Politik für Junglandwirte erforderlich, die sich eventuell auf ein an Qualität sowie Landschafts- und Naturschutz gekoppeltes Prämiensystem stützt.	For this reason alone, it would be desirable if a specific policy were set up for young farmers which is focused on the future.
Erforderlich ist aber auch wie in anderen Wirtschaftssektoren die Einführung einer Ökosteuer, die nicht von den Landwirten, sondern von den Verbrauchern zu zahlen ist, um die zusätzlichen, von den Landwirten zu erfüllenden Anforderungen zu finanzieren und um die Marktstellung der Landwirte und der Verbraucher zu stärken.	Some of the focal points could include a premium scheme linked to quality, landscape and environmental protection, but also the introduction of an eco-tax in other economic sectors, not payable by the farmers but by the consumers, to finance those extra requirements which farmers need to fulfil, and to reinforce the market position of farmers and consumers.
Auffälligerweise wird bei der gesamten Wettbewerbspolitik der Europäischen Union dem Wettbewerb zwar große Beachtung geschenkt, nehmen jedoch beispielsweise im Futtermittelsektor die Abnehmer, die Supermärkte, allmählich eine Monopolstellung ein, während gleichzeitig der Vertrieb durch die Bauernhöfe, durch den kleinen landwirtschaftlichen Betrieb, noch zersplittert ist.	What strikes me in the European Union' s competition policy as a whole, is that although it is enjoying a great deal of attention, in the food sector, for example, the consumers, the supermarkets that is, are gradually gaining a monopoly position, and that at the same time sales from farms, the small-scale dimension, are still fragmented.
Insofern wäre zu wünschen, die Herren Kommissare Monti und Bolkestein nähmen diesen Bereich unter wettbewerbspolitischen Gesichtspunkten einmal ganz kritisch unter die Lupe.	In that sense, it would be desirable if both Commissioners Monti and Bolkestein were more critical in their assessment of this area in terms of competition.
Kein Mensch kommt auch nur einen Tag ohne Essen aus, und Nahrungsmittel stellen die wichtigste Voraussetzung dar, um überhaupt leben zu können.	Mr President, nobody can survive for one day without food; it is life requirement number one.
Dazu bedarf es motivierter Erzeuger.	This requires motivated producers.
Nahrungsmittel bedeuten demnach nicht nur Markt, sondern auch Volksgesundheit, Landwirtschaft und Natur.	This means that food does not just stand for market forces, but also for public health, landscape and nature.
Kurzum, wenn wir das begreifen, dann ist uns auch klar, dass Junglandwirte in Zukunft fünfbeinige Schafe sein müssen und insofern mehr Unterstützung bzw. mehr politischen Rückhalt verdienen, als ihnen gegenwärtig zuteil wird.	In short, if we realise this, then we will know that, in future, young farmers will need to be five-legged sheep, and in that sense, deserve more support, more political support than they are receiving at the moment.
Herr Präsident, Herr Kommissar, meine sehr geehrten Damen und Herren! Zu Beginn möchte ich Herrn Parish sehr herzlich danken für die sehr ernsthafte Darstellung der Situation der Jungbauern in Europa in seinem Bericht.	Mr President, Commissioner, honourable Members, I should like to start by thanking Mr Parish for his serious analysis of the situation of young farmers in Europe.
Ich frage Sie: Was tun wir, wenn wir keine Nachfolger haben, die unsere Bauernhöfe übernehmen?	I ask you, what shall we do when there is no one to take over our farms?
Es ist wichtig und richtig, dass wir einem Strukturwandel unterliegen, doch darf das nicht zu einem völligen Aus dieses Berufsstandes führen.	Structural change is important and it is right, but that should not result in a mass exodus from the farming profession.
Wollen wir weiterhin eine Landwirtschaft in Europa, so müssen wir uns auch um unsere Nachfolge kümmern.	If we want farming to have a future in Europe, then we must secure its succession.
Wir treten für ein multifunktionelles Modell der Landwirtschaft ein, d. h., dass die Bauern nicht nur für die Produktion von Nahrungsmitteln verantwortlich sind, sondern ein Großteil ihrer Arbeit auch der gesamten Gesellschaft zugute kommt, die sich an einer intakten Natur und an einem lebenswerten ländlichen Raum erfreut und dort Erholung findet.	We are in favour of a multi-functional farming model, i.e. a model whereby farmers are not just responsible for producing food and a large part of their work benefits society as a whole, a society which can take pleasure in seeing nature unspoiled and enjoy rural areas which are worth living in.
Die Agrarpolitik und die Politik für den ländlichen Raum als Gesamtes lebt für und von seiner Bevölkerung.	The agricultural policy and the policy for the countryside as a whole lives for and from its inhabitants.
Wir müssen daher Rahmenbedingungen schaffen, dass junge Menschen im ländlichen Raum eine Chance sehen, sich dort ansiedeln und bzw. die Bauernhöfe weiterführen.	We therefore need to create framework conditions which ensure that young people look on the countryside as somewhere worth living in and are willing to continue the farming tradition.
Niederlassungs- und Investitionsbeihilfen sind unerlässlich für junge Bauern, doch genau so wichtig ist es, dass die modernen Technologien Einzug halten.	Setting-up aid and investment grants are essential for young farmers, but modern technology has an equally important part to play.
Mit Computer und Internet müssen sie genau so vertraut sein wie mit der Saat und mit den Tieren im Stall.	Young farmers need to be as familiar with computers and the Internet as they are with seed and the animals in their stalls.
Damit ist die Aus- und Weiterbildung von jungen Bauern immer wichtiger, und ich trete auch in der Landwirtschaft und bei den Bauern für ein lebenslanges Lernen ein.	This means that training and further training for young farmers are becoming more and more important and I, for one, support lifelong learning in farming and among farmers.
